jam,distance_avg
2026-04-22 16:00:00,
2026-04-22 17:00:00,
2026-04-22 18:00:00,153.66
2026-04-22 19:00:00,167.83
2026-04-22 20:00:00,85.8
2026-04-22 21:00:00,50.87
2026-04-22 22:00:00,
2026-04-22 23:00:00,107.32
2026-04-23 00:00:00,71.93
2026-04-23 01:00:00,73.14
2026-04-23 02:00:00,73.73
2026-04-23 03:00:00,73.76
2026-04-23 04:00:00,73.79
2026-04-23 05:00:00,73.73
2026-04-23 06:00:00,73.93
2026-04-23 07:00:00,73.95
2026-04-23 08:00:00,72.98
2026-04-23 09:00:00,74.35
2026-04-23 10:00:00,74.21
2026-04-23 11:00:00,74.19
2026-04-23 12:00:00,73.31
2026-04-23 13:00:00,74.0
2026-04-23 14:00:00,73.35
2026-04-23 15:00:00,74.0
2026-04-23 16:00:00,74.0
2026-04-23 17:00:00,74.0
2026-04-23 18:00:00,73.38
2026-04-23 19:00:00,74.0
2026-04-23 20:00:00,74.0
2026-04-23 21:00:00,71.61
2026-04-23 22:00:00,74.0
2026-04-23 23:00:00,74.0
2026-04-24 00:00:00,74.0
2026-04-24 01:00:00,74.0
2026-04-24 02:00:00,74.0
2026-04-24 03:00:00,74.0
2026-04-24 04:00:00,74.0
2026-04-24 05:00:00,74.0
2026-04-24 06:00:00,74.0
2026-04-24 07:00:00,74.0
2026-04-24 08:00:00,74.0
2026-04-24 09:00:00,74.0
2026-04-24 10:00:00,74.0
2026-04-24 11:00:00,74.0
2026-04-24 12:00:00,74.0
2026-04-24 13:00:00,74.0
2026-04-24 14:00:00,73.38
2026-04-24 15:00:00,74.0
2026-04-24 16:00:00,74.0
2026-04-24 17:00:00,74.0
2026-04-24 18:00:00,74.0
2026-04-24 19:00:00,74.0
2026-04-24 20:00:00,74.0
2026-04-24 21:00:00,74.0
2026-04-24 22:00:00,74.0
2026-04-24 23:00:00,74.0
2026-04-25 00:00:00,74.0
2026-04-25 01:00:00,74.0
2026-04-25 02:00:00,74.0
2026-04-25 03:00:00,74.0
2026-04-25 04:00:00,74.0
2026-04-25 05:00:00,74.0
2026-04-25 06:00:00,74.0
2026-04-25 07:00:00,74.0
2026-04-25 08:00:00,72.96
2026-04-25 09:00:00,
2026-04-25 10:00:00,
2026-04-25 11:00:00,
2026-04-25 12:00:00,
2026-04-25 13:00:00,
2026-04-25 14:00:00,
2026-04-25 15:00:00,
2026-04-25 16:00:00,
2026-04-25 17:00:00,
2026-04-25 18:00:00,
2026-04-25 19:00:00,
2026-04-25 20:00:00,
2026-04-25 21:00:00,
2026-04-25 22:00:00,
2026-04-25 23:00:00,
2026-04-26 00:00:00,
2026-04-26 01:00:00,
2026-04-26 02:00:00,
2026-04-26 03:00:00,
2026-04-26 04:00:00,
2026-04-26 05:00:00,
2026-04-26 06:00:00,
2026-04-26 07:00:00,
2026-04-26 08:00:00,
2026-04-26 09:00:00,
2026-04-26 10:00:00,
2026-04-26 11:00:00,
2026-04-26 12:00:00,
2026-04-26 13:00:00,
2026-04-26 14:00:00,
2026-04-26 15:00:00,
2026-04-26 16:00:00,
2026-04-26 17:00:00,
2026-04-26 18:00:00,
2026-04-26 19:00:00,
2026-04-26 20:00:00,
2026-04-26 21:00:00,
2026-04-26 22:00:00,
2026-04-26 23:00:00,
2026-04-27 00:00:00,
2026-04-27 01:00:00,
2026-04-27 02:00:00,
2026-04-27 03:00:00,
2026-04-27 04:00:00,
2026-04-27 05:00:00,
2026-04-27 06:00:00,
2026-04-27 07:00:00,
2026-04-27 08:00:00,
2026-04-27 09:00:00,
2026-04-28 17:00:00,
2026-04-29 11:00:00,
2026-04-29 12:00:00,
2026-04-29 13:00:00,
2026-04-29 14:00:00,
2026-04-29 15:00:00,
2026-04-29 16:00:00,
2026-04-29 17:00:00,125.7
2026-04-29 18:00:00,255.91
2026-04-29 19:00:00,296.62
2026-04-29 20:00:00,324.62
2026-04-29 21:00:00,304.92
2026-04-29 22:00:00,262.68
2026-04-29 23:00:00,342.62
2026-04-30 00:00:00,330.87
2026-04-30 01:00:00,262.68
2026-04-30 02:00:00,262.66
2026-04-30 03:00:00,262.76
2026-04-30 04:00:00,262.63
2026-04-30 05:00:00,262.69
2026-04-30 06:00:00,262.8
2026-04-30 07:00:00,263.13
2026-04-30 08:00:00,264.34
2026-04-30 09:00:00,264.43
2026-04-30 10:00:00,264.86
2026-04-30 11:00:00,272.19
2026-04-30 12:00:00,268.82
2026-04-30 13:00:00,270.48
2026-04-30 14:00:00,270.96
2026-04-30 15:00:00,264.87
2026-04-30 16:00:00,264.43
2026-04-30 17:00:00,263.34
2026-04-30 18:00:00,264.06
2026-04-30 19:00:00,265.51
2026-04-30 20:00:00,262.97
2026-04-30 21:00:00,263.04
2026-04-30 22:00:00,263.85
2026-04-30 23:00:00,262.97
2026-05-01 00:00:00,262.91
2026-05-01 01:00:00,262.95
2026-05-01 02:00:00,262.91
2026-05-01 03:00:00,262.81
2026-05-01 04:00:00,263.61
2026-05-01 05:00:00,262.85
2026-05-01 06:00:00,263.08
2026-05-01 07:00:00,263.42
2026-05-01 08:00:00,264.74
2026-05-01 09:00:00,266.87
2026-05-01 10:00:00,264.84
2026-05-01 11:00:00,266.64
2026-05-01 12:00:00,266.34
2026-05-01 13:00:00,267.54
2026-05-01 14:00:00,270.97
2026-05-01 15:00:00,263.62
2026-05-01 16:00:00,263.35
2026-05-01 17:00:00,263.12
2026-05-01 18:00:00,262.9
2026-05-01 19:00:00,263.71
2026-05-01 20:00:00,293.96
2026-05-01 21:00:00,348.53
2026-05-01 22:00:00,274.76
2026-05-01 23:00:00,263.4
2026-05-02 00:00:00,263.88
2026-05-02 01:00:00,262.44
2026-05-02 02:00:00,262.38
2026-05-02 03:00:00,262.57
2026-05-02 04:00:00,262.84
